
level1,level1Label,level2,level2Label,level3,level3Label,level4,level4Label
http://jacs3.data.ac.uk/A000,Medicine & dentistry,http://jacs3.data.ac.uk/A100,Pre-clinical medicine,,,,
http://jacs3.data.ac.uk/A000,Medicine & dentistry,http://jacs3.data.ac.uk/A200,Pre-clinical dentistry,,,,
http://jacs3.data.ac.uk/A000,Medicine & dentistry,http://jacs3.data.ac.uk/A300,Clinical medicine,,,,
http://jacs3.data.ac.uk/A000,Medicine & dentistry,http://jacs3.data.ac.uk/A400,Clinical dentistry,,,,
http://jacs3.data.ac.uk/A000,Medicine & dentistry,http://jacs3.data.ac.uk/A900,Others in medicine & dentistry,http://jacs3.data.ac.uk/A990,Medicine & dentistry not elsewhere classified,,
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B100,"Anatomy, physiology & pathology",http://jacs3.data.ac.uk/B110,Anatomy,,
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B100,"Anatomy, physiology & pathology",http://jacs3.data.ac.uk/B120,Physiology,http://jacs3.data.ac.uk/B121,Clinical physiology
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B100,"Anatomy, physiology & pathology",http://jacs3.data.ac.uk/B130,Pathology,http://jacs3.data.ac.uk/B131,Cellular pathology
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B100,"Anatomy, physiology & pathology",http://jacs3.data.ac.uk/B130,Pathology,http://jacs3.data.ac.uk/B132,Pathobiology
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B100,"Anatomy, physiology & pathology",http://jacs3.data.ac.uk/B140,Neuroscience,,
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B100,"Anatomy, physiology & pathology",http://jacs3.data.ac.uk/B160,Physiotherapy,,
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B100,"Anatomy, physiology & pathology",http://jacs3.data.ac.uk/B170,Podiatry,,
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B100,"Anatomy, physiology & pathology",http://jacs3.data.ac.uk/B190,"Anatomy, physiology & pathology not elsewhere classified",,
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B200,"Pharmacology, toxicology & pharmacy",http://jacs3.data.ac.uk/B210,Pharmacology,,
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B200,"Pharmacology, toxicology & pharmacy",http://jacs3.data.ac.uk/B220,Toxicology,,
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B200,"Pharmacology, toxicology & pharmacy",http://jacs3.data.ac.uk/B230,Pharmacy,,
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B200,"Pharmacology, toxicology & pharmacy",http://jacs3.data.ac.uk/B290,"Pharmacology, toxicology & pharmacy not elsewhere classified",,
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B300,"Complementary medicines, therapies & well-being",http://jacs3.data.ac.uk/B310,Osteopathy,,
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B300,"Complementary medicines, therapies & well-being",http://jacs3.data.ac.uk/B320,Chiropractic,,
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B300,"Complementary medicines, therapies & well-being",http://jacs3.data.ac.uk/B340,Alternative medicine & therapies,http://jacs3.data.ac.uk/B341,Chinese
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B300,"Complementary medicines, therapies & well-being",http://jacs3.data.ac.uk/B340,Alternative medicine & therapies,http://jacs3.data.ac.uk/B342,Herbalism
