UKPRN,PROVIDER_NAME,JISC_BAND
10007798,THE UNIVERSITY OF MANCHESTER,1
10007784,UNIVERSITY COLLEGE LONDON,1
10007788,UNIVERSITY OF CAMBRIDGE,1
10007774,UNIVERSITY OF OXFORD,1
10003270,"IMPERIAL COLLEGE OF SCIENCE, TECHNOLOGY AND MEDICINE",2
10003645,KING'S COLLEGE LONDON,2
10007773,OPEN UNIVERSITY(THE),2
10006840,UNIVERSITY OF BIRMINGHAM,2
10007790,UNIVERSITY OF EDINBURGH,2
10007794,UNIVERSITY OF GLASGOW,2
10007795,UNIVERSITY OF LEEDS,2
10007154,"UNIVERSITY OF NOTTINGHAM, THE",2
10007814,CARDIFF UNIVERSITY,3
10007799,NEWCASTLE UNIVERSITY,3
10007775,QUEEN MARY UNIVERSITY OF LONDON,3
10007786,UNIVERSITY OF BRISTOL,3
10006842,UNIVERSITY OF LIVERPOOL,3
10007157,UNIVERSITY OF SHEFFIELD,3
10007158,UNIVERSITY OF SOUTHAMPTON,3
10007163,UNIVERSITY OF WARWICK,3
10004180,MANCHESTER METROPOLITAN UNIVERSITY,4
10005343,QUEEN'S UNIVERSITY OF BELFAST,4
10005790,SHEFFIELD HALLAM UNIVERSITY,4
10007852,UNIVERSITY OF DUNDEE,4
10007143,UNIVERSITY OF DURHAM,4
10007792,UNIVERSITY OF EXETER,4
10007147,UNIVERSITY OF HERTFORDSHIRE,4
10007796,UNIVERSITY OF LEICESTER,4
10007805,UNIVERSITY OF STRATHCLYDE,4
10007167,UNIVERSITY OF YORK,4
10007759,ASTON UNIVERSITY,6
10001143,CANTERBURY CHRIST CHURCH UNIVERSITY,6
10007823,EDGE HILL UNIVERSITY,6
10007772,EDINBURGH NAPIER UNIVERSITY,6
10007769,LONDON BUSINESS SCHOOL,6
10007771,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,6
10007856,PRIFYSGOL ABERYSTWYTH,6
10005553,ROYAL HOLLOWAY COLLEGE AND BEDFORD NEW COLLEGE,6
10006022,SOUTHAMPTON SOLENT UNIVERSITY,6
10007851,UNIVERSITY OF DERBY,6
10007767,UNIVERSITY OF KEELE,6
10007138,"UNIVERSITY OF NORTHAMPTON,THE",6
10007804,UNIVERSITY OF STIRLING,6
10007800,UNIVERSITY OF THE WEST OF SCOTLAND,6
10007760,BIRKBECK COLLEGE,7
10000975,BUCKINGHAMSHIRE NEW UNIVERSITY,7
10007854,CARDIFF METROPOLITAN UNIVERSITY,7
10002718,GOLDSMITHS' COLLEGE,7
10003324,INSTITUTE OF CANCER RESEARCH: ROYAL CANCER HOSPITAL (THE),7
10007766,"INSTITUTE OF EDUCATION, UNIVERSITY OF LONDON",7
10007776,ROEHAMPTON UNIVERSITY,7
10007780,SCHOOL OF ORIENTAL AND AFRICAN STUDIES,7
10007782,"ST. GEORGE'S, UNIVERSITY OF LONDON",7
10005500,THE ROBERT GORDON UNIVERSITY,7
10007779,THE ROYAL VETERINARY COLLEGE,7
10007842,THE UNIVERSITY OF CUMBRIA,7
10006427,UNIVERSITY FOR THE CREATIVE ARTS,7
10007848,UNIVERSITY OF CHESTER,7
10007145,UNIVERSITY OF GLOUCESTERSHIRE,7
10007151,UNIVERSITY OF LINCOLN,7
10007114,UNIVERSITY OF THE HIGHLANDS AND ISLANDS,7
