UKPRN,PROVIDER_NAME,MISSION_GROUP
10008640,FALMOUTH UNIVERSITY,
10007774,UNIVERSITY OF OXFORD,Russell_Group
10007768,UNIVERSITY OF LANCASTER,1994_Group
10000571,BATH SPA UNIVERSITY,Million_Plus
10007814,CARDIFF UNIVERSITY,Russell_Group
10007158,UNIVERSITY OF SOUTHAMPTON,Russell_Group
10007779,THE ROYAL VETERINARY COLLEGE,
10007851,UNIVERSITY OF DERBY,
10000824,BOURNEMOUTH UNIVERSITY,
10007162,"UNIVERSITY OF THE ARTS, LONDON",
10007804,UNIVERSITY OF STIRLING,
10007823,EDGE HILL UNIVERSITY,
10007160,UNIVERSITY OF SURREY,
10007791,UNIVERSITY OF ESSEX,1994_Group
10003945,THE LIVERPOOL INSTITUTE FOR PERFORMING ARTS,
10007802,UNIVERSITY OF READING,
10007806,UNIVERSITY OF SUSSEX,1994_Group
10007152,UNIVERSITY OF BEDFORDSHIRE,Million_Plus
10007150,UNIVERSITY OF KENT,
10007832,NEWMAN UNIVERSITY,Cathedrals_Group
10007788,UNIVERSITY OF CAMBRIDGE,Russell_Group
10001883,DE MONTFORT UNIVERSITY,
10007790,UNIVERSITY OF EDINBURGH,Russell_Group
10007795,UNIVERSITY OF LEEDS,Russell_Group
10008816,NORTHERN SCHOOL OF CONTEMPORARY DANCE,
10005343,QUEEN'S UNIVERSITY OF BELFAST,Russell_Group
10003861,LEEDS METROPOLITAN UNIVERSITY,Million_Plus
10007772,EDINBURGH NAPIER UNIVERSITY,Million_Plus
10007854,CARDIFF METROPOLITAN UNIVERSITY,University_Alliance
10007849,UNIVERSITY OF ABERTAY DUNDEE,Million_Plus
10007164,"UNIVERSITY OF THE WEST OF ENGLAND, BRISTOL",University_Alliance
10007761,COURTAULD INSTITUTE OF ART,
10000961,BRUNEL UNIVERSITY,
10007778,ROYAL COLLEGE OF MUSIC,
10004180,MANCHESTER METROPOLITAN UNIVERSITY,University_Alliance
10007811,BISHOP GROSSETESTE UNIVERSITY,Cathedrals_Group
10005389,RAVENSBOURNE,
10003678,KINGSTON UNIVERSITY,University_Alliance
10007166,UNIVERSITY OF WOLVERHAMPTON,
10001478,THE CITY UNIVERSITY,
10007781,SCHOOL OF PHARMACY UNIVERSITY OF LONDON(THE),
10006427,UNIVERSITY FOR THE CREATIVE ARTS,
10008026,ST MARY'S UNIVERSITY COLLEGE,
10005500,THE ROBERT GORDON UNIVERSITY,
10008017,TRINITY LABAN CONSERVATOIRE OF MUSIC AND DANCE LTD,
10007114,UNIVERSITY OF THE HIGHLANDS AND ISLANDS,Million_Plus
10007775,QUEEN MARY UNIVERSITY OF LONDON,Russell_Group
