UKPRN,PROVIDER_NAME,REGIONAL_GROUP
10008640,FALMOUTH UNIVERSITY,GuildHE
10007774,UNIVERSITY OF OXFORD,Science_and_Engineering_South
10007774,UNIVERSITY OF OXFORD,SUPC
10007768,UNIVERSITY OF LANCASTER,N8_Research_Partnership
10007768,UNIVERSITY OF LANCASTER,NOWAL
10007768,UNIVERSITY OF LANCASTER,NEYAL
10007768,UNIVERSITY OF LANCASTER,NWUPC
10000571,BATH SPA UNIVERSITY,SUPC
10007814,CARDIFF UNIVERSITY,GW4
10007814,CARDIFF UNIVERSITY,HEPCW
10007158,UNIVERSITY OF SOUTHAMPTON,Science_and_Engineering_South
10007158,UNIVERSITY OF SOUTHAMPTON,SUPC
10007779,THE ROYAL VETERINARY COLLEGE,M25
10007851,UNIVERSITY OF DERBY,NEYAL
10007851,UNIVERSITY OF DERBY,NEUPC
10000824,BOURNEMOUTH UNIVERSITY,SUPC
10007162,"UNIVERSITY OF THE ARTS, LONDON",M25
10007804,UNIVERSITY OF STIRLING,Universities_Scotland
10007823,EDGE HILL UNIVERSITY,NOWAL
10007823,EDGE HILL UNIVERSITY,NWUPC
10007160,UNIVERSITY OF SURREY,M25
10007160,UNIVERSITY OF SURREY,SUPC
10007791,UNIVERSITY OF ESSEX,M25
10007791,UNIVERSITY OF ESSEX,SUPC
10003945,THE LIVERPOOL INSTITUTE FOR PERFORMING ARTS,GuildHE
10007802,UNIVERSITY OF READING,M25
10007802,UNIVERSITY OF READING,SUPC
10007806,UNIVERSITY OF SUSSEX,M25
10007806,UNIVERSITY OF SUSSEX,SUPC
10007152,UNIVERSITY OF BEDFORDSHIRE,M25
10007152,UNIVERSITY OF BEDFORDSHIRE,SUPC
10007150,UNIVERSITY OF KENT,NCUK
10007150,UNIVERSITY OF KENT,M25
10007150,UNIVERSITY OF KENT,SUPC
10007832,NEWMAN UNIVERSITY,GuildHE
10007788,UNIVERSITY OF CAMBRIDGE,Science_and_Engineering_South
10007788,UNIVERSITY OF CAMBRIDGE,SUPC
10001883,DE MONTFORT UNIVERSITY,SUPC
10007790,UNIVERSITY OF EDINBURGH,Universities_Scotland
10007795,UNIVERSITY OF LEEDS,N8_Research_Partnership
10007795,UNIVERSITY OF LEEDS,White_Rose_Consortium
10007795,UNIVERSITY OF LEEDS,NEYAL
10007795,UNIVERSITY OF LEEDS,NEUPC
10008816,NORTHERN SCHOOL OF CONTEMPORARY DANCE,
10005343,QUEEN'S UNIVERSITY OF BELFAST,NCUK
10005343,QUEEN'S UNIVERSITY OF BELFAST,NWUPC
10003861,LEEDS METROPOLITAN UNIVERSITY,NEYAL
10003861,LEEDS METROPOLITAN UNIVERSITY,NEUPC
10007772,EDINBURGH NAPIER UNIVERSITY,Universities_Scotland
10007854,CARDIFF METROPOLITAN UNIVERSITY,HEPCW
10007849,UNIVERSITY OF ABERTAY DUNDEE,Universities_Scotland
10007849,UNIVERSITY OF ABERTAY DUNDEE,GuildHE
10007164,"UNIVERSITY OF THE WEST OF ENGLAND, BRISTOL",SUPC
10007761,COURTAULD INSTITUTE OF ART,
10000961,BRUNEL UNIVERSITY,M25
10000961,BRUNEL UNIVERSITY,SUPC
10007778,ROYAL COLLEGE OF MUSIC,
10004180,MANCHESTER METROPOLITAN UNIVERSITY,NOWAL
10004180,MANCHESTER METROPOLITAN UNIVERSITY,NWUPC
10007811,BISHOP GROSSETESTE UNIVERSITY,NEYAL
10007811,BISHOP GROSSETESTE UNIVERSITY,GuildHE
10005389,RAVENSBOURNE,M25
10005389,RAVENSBOURNE,GuildHE
10003678,KINGSTON UNIVERSITY,NCUK
10003678,KINGSTON UNIVERSITY,M25
10007166,UNIVERSITY OF WOLVERHAMPTON,SUPC
