UKPRN,PROVIDER_NAME,LIBRARY_GROUP
10008640,FALMOUTH UNIVERSITY,NON-RLUK
10007774,UNIVERSITY OF OXFORD,RLUK
10007768,UNIVERSITY OF LANCASTER,NON-RLUK
10000571,BATH SPA UNIVERSITY,NON-RLUK
10007814,CARDIFF UNIVERSITY,RLUK
10007158,UNIVERSITY OF SOUTHAMPTON,RLUK
10007779,THE ROYAL VETERINARY COLLEGE,NON-RLUK
10007851,UNIVERSITY OF DERBY,NON-RLUK
10000824,BOURNEMOUTH UNIVERSITY,NON-RLUK
10007162,"UNIVERSITY OF THE ARTS, LONDON",NON-RLUK
10007804,UNIVERSITY OF STIRLING,NON-RLUK
10007823,EDGE HILL UNIVERSITY,NON-RLUK
10007160,UNIVERSITY OF SURREY,NON-RLUK
10007791,UNIVERSITY OF ESSEX,NON-RLUK
10003945,THE LIVERPOOL INSTITUTE FOR PERFORMING ARTS,NON-RLUK
10007802,UNIVERSITY OF READING,RLUK
10007806,UNIVERSITY OF SUSSEX,RLUK
10007152,UNIVERSITY OF BEDFORDSHIRE,NON-RLUK
10007150,UNIVERSITY OF KENT,NON-RLUK
10007832,NEWMAN UNIVERSITY,NON-RLUK
10007788,UNIVERSITY OF CAMBRIDGE,RLUK
10001883,DE MONTFORT UNIVERSITY,NON-RLUK
10007790,UNIVERSITY OF EDINBURGH,RLUK
10007795,UNIVERSITY OF LEEDS,RLUK
10008816,NORTHERN SCHOOL OF CONTEMPORARY DANCE,NON-RLUK
10005343,QUEEN'S UNIVERSITY OF BELFAST,RLUK
10003861,LEEDS METROPOLITAN UNIVERSITY,NON-RLUK
10007772,EDINBURGH NAPIER UNIVERSITY,NON-RLUK
10007854,CARDIFF METROPOLITAN UNIVERSITY,NON-RLUK
10007849,UNIVERSITY OF ABERTAY DUNDEE,NON-RLUK
10007164,"UNIVERSITY OF THE WEST OF ENGLAND, BRISTOL",NON-RLUK
10007761,COURTAULD INSTITUTE OF ART,NON-RLUK
10000961,BRUNEL UNIVERSITY,NON-RLUK
10007778,ROYAL COLLEGE OF MUSIC,NON-RLUK
10004180,MANCHESTER METROPOLITAN UNIVERSITY,NON-RLUK
10007811,BISHOP GROSSETESTE UNIVERSITY,NON-RLUK
10005389,RAVENSBOURNE,NON-RLUK
10003678,KINGSTON UNIVERSITY,NON-RLUK
10007166,UNIVERSITY OF WOLVERHAMPTON,NON-RLUK
10001478,THE CITY UNIVERSITY,NON-RLUK
10007781,SCHOOL OF PHARMACY UNIVERSITY OF LONDON(THE),NON-RLUK
10006427,UNIVERSITY FOR THE CREATIVE ARTS,NON-RLUK
10008026,ST MARY'S UNIVERSITY COLLEGE,NON-RLUK
10005500,THE ROBERT GORDON UNIVERSITY,NON-RLUK
10008017,TRINITY LABAN CONSERVATOIRE OF MUSIC AND DANCE LTD,NON-RLUK
